expiration,vehicle,license,location,company
20200901,Pegasus,LLO 00-053,CA,Orbital ATK
20210317,Pegasus,LLO 01-058 (Rev 2),VA,Orbital ATK
20210317,Pegasus,LLO 01-059 (Rev 2),Florida,Orbital ATK
20161213,Atlas V,LLO 01-064,Florida,Lockheed Martin Commercial Launch Services
20190722,Pegasus,LLO 04-069 (Rev 2),RMI,Orbital ATK
20161219,Atlas V,LLO 11-078,CA,Lockheed Martin Commercial Launch Services
20180606,Minotaur,LLO 13-083,VA,Orbital ATK
20190611,Antares Configuration 230,LLO 14-091 (Rev. 2),VA,Orbital ATK
20180225,Falcon 9 Version 1.2,LLS 14-087 (Rev 2),Florida,Space Exploration Technologies Corporation
20161231,Falcon 9 Version 1.2,LLS 14-090 (Rev 2),Florida,Space Exploration Technologies Corporation
20180728,SpaceShipTwo,LRLO 16-092,CA,Virgin Galactic
