license,operator,expiration,location,site
LSO 01-005,Harris Corporation,20210918,CA,California Spaceport
LSO 02-007A (rev2),Virginia Commercial Space Flight Authority,20171218,VA,Wallops Flight Facility
LSO 03-008 (Rev.3),Alaska Aerospace Development Corporation,20180923,Alaska,Pacific Spaceport Complex Alaska
LSO 04-009 (rev.1),Mojave Air &amp; Space Port,20190616,CA,Mojave Air &amp; Space Port
LSO 06-010 (Rev. 2),Oklahoma Space Industry Development Authority,20210611,Oklahoma,"Burns Flat, Oklahoma"
LSO 08-011,New Mexico Spaceflight Authority,20181214,New Mexico,Spaceport America
LSO 09-012 (Rev 1),Jacksonville Aviation Authority,20200110,Florida,Cecil Field
LSO 10-014,Space Florida,20200630,Florida,Cape Canaveral Air Force Station
LSO 14-015,Midland International Airport,20190914,TX,Midland International Airport
LSO 15-016,Houston Airport System,20200625,TX,Ellington Airport
